config,beta,noise_amp,SNR_dB,qualidade
NBFM,1.0,0.0,104.0,Excelente
NBFM,1.0,0.05,0.5,Inaudivel
NBFM,1.0,0.1,0.1,Inaudivel
NBFM,1.0,0.2,-0.1,Inaudivel
NBFM,1.0,0.5,-0.2,Inaudivel
NBFM,1.0,1.0,-1.0,Inaudivel
NBFM,1.0,2.0,-1.8,Inaudivel
NBFM,1.0,5.0,-2.1,Inaudivel
WBFM,10.0,0.0,116.2,Excelente
WBFM,10.0,0.05,6.3,Ruim
WBFM,10.0,0.1,3.7,Ruim
WBFM,10.0,0.2,1.7,Inaudivel
WBFM,10.0,0.5,0.4,Inaudivel
WBFM,10.0,1.0,-0.6,Inaudivel
WBFM,10.0,2.0,-1.7,Inaudivel
WBFM,10.0,5.0,-2.1,Inaudivel
