freq_Hz,valor_final,residual_noise,locked
200,0.039270,0.000000,SIM
250,0.049087,0.000000,SIM
300,0.058905,0.000000,SIM
350,0.068722,0.000000,SIM
400,0.078540,0.000000,SIM
450,0.088357,0.000000,SIM
500,0.098175,0.000000,SIM
550,0.107992,0.000000,SIM
600,0.117810,0.000000,SIM
650,0.127627,0.000000,SIM
700,0.137445,0.000000,SIM
750,0.147262,0.000000,SIM
800,0.157080,0.000000,SIM
850,0.166897,0.000000,SIM
900,0.176715,0.000000,SIM
950,0.186532,0.000000,SIM
1000,0.196350,0.000000,SIM
1050,0.206167,0.000000,SIM
1100,0.215985,0.000000,SIM
1150,0.225802,0.000000,SIM
1200,0.235619,0.000000,SIM
1250,0.245437,0.000000,SIM
1300,0.255254,0.000000,SIM
1350,0.265072,0.000000,SIM
1400,0.274889,0.000000,SIM
1450,0.284707,0.000000,SIM
1500,0.294524,0.000000,SIM
1550,0.304342,0.000000,SIM
1600,0.314159,0.000000,SIM
1650,0.323977,0.000000,SIM
1700,0.333794,0.000000,SIM
1750,0.343612,0.000000,SIM
1800,0.353429,0.000000,SIM
